X,Y,Accuracy,Player,Period
1,1,100%,Bird,1 point
2,1,100%,Bird,1 point
3,1,100%,Bird,1 point
4,1,0%,Bird,1 point
5,1,100%,Bird,1 point
6,1,100%,Bird,1 point
7,1,100%,Bird,1 point
8,1,100%,Bird,1 point
1,2,60%,Bird,1 point
2,2,0%,Bird,1 point
3,2,50%,Bird,1 point
4,2,0%,Bird,1 point
5,2,0%,Bird,1 point
6,2,100%,Bird,1 point
7,2,100%,Bird,1 point
8,2,0%,Bird,1 point
1,3,0%,Bird,1 point
2,3,0%,Bird,1 point
3,3,100%,Bird,1 point
4,3,0%,Bird,1 point
5,3,0%,Bird,1 point
6,3,0%,Bird,1 point
7,3,0%,Bird,1 point
8,3,0%,Bird,1 point
1,4,0%,Bird,1 point
2,4,0%,Bird,1 point
3,4,0%,Bird,1 point
4,4,0%,Bird,1 point
5,4,0%,Bird,1 point
6,4,0%,Bird,1 point
7,4,0%,Bird,1 point
8,4,0%,Bird,1 point
1,5,0%,Bird,1 point
2,5,0%,Bird,1 point
3,5,0%,Bird,1 point
4,5,100%,Bird,1 point
5,5,0%,Bird,1 point
6,5,0%,Bird,1 point
7,5,0%,Bird,1 point
8,5,0%,Bird,1 point
1,1,100%,Day,1 point
2,1,0%,Day,1 point
3,1,0%,Day,1 point
4,1,0%,Day,1 point
5,1,0%,Day,1 point
6,1,0%,Day,1 point
7,1,0%,Day,1 point
8,1,0%,Day,1 point
1,2,100%,Day,1 point
2,2,0%,Day,1 point
3,2,0%,Day,1 point
4,2,0%,Day,1 point
5,2,0%,Day,1 point
6,2,0%,Day,1 point
7,2,0%,Day,1 point
8,2,0%,Day,1 point
1,3,0%,Day,1 point
2,3,0%,Day,1 point
3,3,0%,Day,1 point
4,3,0%,Day,1 point
5,3,0%,Day,1 point
6,3,100%,Day,1 point
7,3,0%,Day,1 point
8,3,0%,Day,1 point
1,4,0%,Day,1 point
2,4,0%,Day,1 point
3,4,0%,Day,1 point
